Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,Mi,1.0,0.0
All_Characters,9 2 2 1 2 W,492212,0.6363636363636364,0.0
All_Characters,4 2 6 4 0 A,T,1.0,0.0
All_Characters,1 6 3 1 6 A,@,1.0,0.0
All_Characters,1 6 9 0 9 B B,16209B BUL,0.6153846153846154,0.0
All_Characters,6 1 9 8 7 Y,MM,1.0,0.0
All_Characters,2 6 6 0 6 D,[266061JBLAc,0.8181818181818182,0.0
All_Characters,5 7 6 9 Y,6262,0.8888888888888888,0.0
All_Characters,9 2 8 5 T B,9285 Z BuLe,0.6363636363636364,0.0
All_Characters,3 3 7 5 6 R,6u7u,0.9090909090909091,0.0
All_Characters,4 5 8 0 H H,[j80&iC,0.8181818181818182,0.0
All_Characters,2 8 5 0 A B,[5deb,0.9090909090909091,0.0
All_Characters,2 6 9 7 9 A A,26979 AA JLaE,0.6923076923076923,0.0
All_Characters,8 5 1 7 9 D,MM16 _,0.8181818181818182,0.0
All_Characters,8 0 2 0 B D,'8020185,0.7272727272727273,0.0
All_Characters,9 6 6 4 T A,[966h,0.8181818181818182,0.0
All_Characters,8 1 4 3 0 B B,181430B B,0.46153846153846156,0.0
All_Characters,7 2 8 0 9 D,M28w,0.8181818181818182,0.0
All_Characters,5 3 4 2 2 D,6322B61,0.8181818181818182,0.0
All_Characters,3 0 5 7 9 H,60579104,0.7272727272727273,0.0
All_Characters,2 0 3 7 3 W,pa20373,0.7272727272727273,0.0
All_Characters,6 5 2 8 7 B,65282,0.6363636363636364,0.0
All_Characters,7 8 9 0 B,Ibd,1.0,0.0
All_Characters,1 3 6 8 B,Fwb,1.0,0.0
All_Characters,9 1 0 5 2 D,10b2,0.7272727272727273,0.0
All_Characters,8 4 9 6 4 A,0pghL,1.0,0.0
All_Characters,5 6 1 9 5 H,1125,0.8181818181818182,0.0
All_Characters,4 2 6 4 8 B,52648OLr,0.7272727272727273,0.0
All_Characters,6 3 7 0 6 M,[z7ub,0.9090909090909091,0.0
All_Characters,1 4 2 4 7 H,1R2RT ; 6,0.6363636363636364,0.0
All_Characters,2 5 0 2 R W,252 EZBL:,0.7272727272727273,0.0
All_Characters,6 2 1 2 3 B,621256,0.6363636363636364,0.0
All_Characters,9 9 8 0 5 B B,129805B B,0.46153846153846156,0.0
All_Characters,7 5 7 5 9 S,25755JL,0.7272727272727273,0.0
All_Characters,6 6 8 6 2 B B,[6262E84,0.7692307692307693,0.0
All_Characters,4 5 2 5 D R,[2B,0.9090909090909091,0.0
All_Characters,6 0 4 7 3 W,FeibSLa,1.0,0.0
All_Characters,7 4 1 3 5 Y,[25135E,0.7272727272727273,0.0
All_Characters,2 8 5 0 A B,@bwmd,1.0,0.0
All_Characters,7 5 2 7 4 W,Tu64,0.9090909090909091,0.0
All_Characters,9 3 2 8 H,19320EGL,0.7777777777777778,0.0
All_Characters,8 1 4 3 0 B B,Buee,1.0,0.0
All_Characters,2 2 0 5 T,1s,1.0,0.0
All_Characters,6 0 5 9 1 Y,'60521,0.7272727272727273,0.0
All_Characters,2 8 1 5 2 Y,281521,0.5454545454545454,0.0
All_Characters,4 3 6 9 4 D,89La[3op4,0.9090909090909091,0.0
All_Characters,8 8 0 7 9 S,164{88072],0.9090909090909091,0.0
All_Characters,7 7 5 7 2 D,76728:,0.7272727272727273,0.0
All_Characters,6 3 8 7 9 H,EMi,1.0,0.0
All_Characters,5 0 2 3 4 R,6023[DL,0.7272727272727273,0.0
All_Characters,2 2 6 1 6 W,ILa12266,0.9090909090909091,0.0
All_Characters,7 3 0 9 2 Y,1230221,0.7272727272727273,0.0
All_Characters,6 4 2 0 5 M,64205,0.5454545454545454,0.0
All_Characters,8 2 3 9 T,18239L,0.6666666666666666,0.0
All_Characters,7 7 8 3 0 W,3Le77830],0.7272727272727273,0.0
All_Characters,1 6 0 5 9 W,060513,0.7272727272727273,0.0
All_Characters,5 6 3 9 3 W,66323@p44,0.8181818181818182,0.0
All_Characters,5 9 8 2 B H,G9b2b11,0.8181818181818182,0.0
All_Characters,6 3 7 0 6 M,,1.0,0.0
All_Characters,9 7 8 0 0 B,pzaqdeecd,1.0,0.0
All_Characters,7 9 1 B D,291 b35,0.6666666666666666,0.0
All_Characters,6 3 8 4 2 D,63842Bl2,0.6363636363636364,0.0
All_Characters,6 1 4 5 6 M,61451laLe,0.7272727272727273,0.0
All_Characters,6 6 0 2 5 B,60025,0.6363636363636364,0.0
All_Characters,7 8 0 6 8 H,28068BL,0.6363636363636364,0.0
All_Characters,9 3 9 8 0 B B,[39b0ELBEPEx,0.9230769230769231,0.0
All_Characters,4 9 0 5 B Y,,1.0,0.0
All_Characters,5 6 3 0 8 A A,M3,0.9230769230769231,0.0
All_Characters,9 9 5 3 3 R,Wek,1.0,0.0
All_Characters,2 1 8 6 9 M,EBOEN,1.0,0.0
All_Characters,3 8 8 9 7 M,B8897 |,0.5454545454545454,0.0
All_Characters,7 2 1 4 5 B,1225 2,0.7272727272727273,0.0
All_Characters,8 7 9 1 A A,B7MIpLd,0.9090909090909091,0.0
All_Characters,2 8 2 1 8 H,25248PLa,0.8181818181818182,0.0
All_Characters,2 8 2 1 8 H,25248pL,0.7272727272727273,0.0
All_Characters,6 6 0 5 0 A,Gh51,0.9090909090909091,0.0
All_Characters,1 5 1 5 2 H,115152 6Ke,0.6363636363636364,0.0
All_Characters,4 1 9 4 7 A,EML,1.0,0.0
All_Characters,3 1 8 2 4 B B,1B1824Ea@L4c,0.8461538461538461,0.0
All_Characters,9 8 3 6 6 B B,128366_B B,0.46153846153846156,0.0
All_Characters,8 5 0 H Y,850selaazHY,1.0,0.0
All_Characters,3 4 9 1 7 W,WpQ,1.0,0.0
All_Characters,7 8 8 7 9 M,128829 KEl,0.7272727272727273,0.0
All_Characters,7 8 0 4 7 D,7804,0.6363636363636364,0.0
All_Characters,8 8 1 5 H H,DBieee,1.0,0.0
All_Characters,7 6 0 2 9 H,D6022EE,0.7272727272727273,0.0
All_Characters,6 5 0 3 4 B B,65034638,0.6153846153846154,0.0
All_Characters,8 1 6 2 5 R,01625PL,0.6363636363636364,0.0
All_Characters,2 5 2 3 R W,2521,0.7272727272727273,0.0
All_Characters,5 7 2 6 5 M,622606,0.8181818181818182,0.0
All_Characters,6 5 3 6 6 B,65064,0.7272727272727273,0.0
All_Characters,4 1 5 6 3 B B,41563E1,0.6153846153846154,0.0
All_Characters,2 8 9 0 6 H,@,1.0,0.0
All_Characters,3 2 8 6 D R,B2E6B2,0.8181818181818182,0.0
All_Characters,8 6 5 0 8 A A,86508ULA,0.5384615384615384,0.0
All_Characters,1 2 8 1 9 A A,12812,0.6923076923076923,0.0
All_Characters,2 8 3 9 0 B,28320,0.6363636363636364,0.0
All_Characters,9 7 8 0 0 B,pzbdb004,0.8181818181818182,0.0
All_Characters,1 2 2 3 2 W,[22Be4,0.8181818181818182,0.0
All_Characters,9 2 1 7 3 H,024a,0.9090909090909091,0.0
All_Characters,6 2 1 4 9 Y,621421BLX,0.7272727272727273,0.0
All_Characters,1 4 9 1 0 M,041BLe,0.8181818181818182,0.0
All_Characters,4 3 1 5 7 D,1631Zjk,0.8181818181818182,0.0
All_Characters,6 1 4 9 H,I,1.0,0.0
All_Characters,7 1 7 1 3 B,TME,1.0,0.0
All_Characters,7 5 0 0 9 W,750098624,0.7272727272727273,0.0
All_Characters,6 9 2 0 9 A,692091oLal,0.8181818181818182,0.0
All_Characters,5 6 5 6 6 A,6506meDE,0.7272727272727273,0.0
All_Characters,4 9 7 5 6 B B,492756,0.6153846153846154,0.0
All_Characters,7 8 1 0 R W,{8102,0.7272727272727273,0.0
All_Characters,5 0 0 7 9 B B,@m0aL,0.9230769230769231,0.0
All_Characters,4 7 4 9 0,M4pd1lelel,1.0,0.0
All_Characters,3 9 0 3 5 A,52035,0.7272727272727273,0.0
All_Characters,2 5 9 9 B K,I2zgg81DB,0.9090909090909091,0.0
All_Characters,1 2 9 6 0 D,742060,0.7272727272727273,0.0
All_Characters,8 8 1 5 H H,68153,0.7272727272727273,0.0
All_Characters,2 7 5 7 0 W,12757oLac,0.7272727272727273,0.0
All_Characters,7 7 3 4 Y B,M3/13L4,0.8181818181818182,0.0
All_Characters,1 3 6 4 4 B,DDLEBC,1.0,0.0
All_Characters,6 5 3 6 6 B,653661JL=,0.6363636363636364,0.0
All_Characters,5 9 4 6 8 Y,59468,0.5454545454545454,0.0
All_Characters,7 4 2 5 7 R,14252,0.7272727272727273,0.0
All_Characters,2 1 7 3 7 R,612113lBLZ,0.8181818181818182,0.0
All_Characters,4 4 8 6 1 R,686],0.8181818181818182,0.0
All_Characters,2 0 2 3 9 A,20232,0.6363636363636364,0.0
All_Characters,6 2 3 5 3 A A,62353,0.6153846153846154,0.0
All_Characters,2 0 5 6 3 D,2056305,0.5454545454545454,0.0
All_Characters,6 2 3 6 7 M,Bpla[@MZE,1.0,0.0
All_Characters,6 6 8 4 A S,68181,0.8181818181818182,0.0
All_Characters,4 0 3 6 8 B,[03661,0.7272727272727273,0.0
All_Characters,4 0 3 6 8 B,[03661,0.7272727272727273,0.0
All_Characters,7 6 0 2 4 B B,[6E22,0.8461538461538461,0.0
All_Characters,2 0 3 7 Y B,134[2037 5,0.9090909090909091,0.0
All_Characters,1 2 6 9 2 S,[262E,0.7272727272727273,0.0
All_Characters,6 1 9 8 2 H,161262,0.8181818181818182,0.0
All_Characters,2 9 7 2 8 S,227228pL:,0.7272727272727273,0.0
All_Characters,5 7 6 3 2 A,67632OL,0.6363636363636364,0.0
All_Characters,6 1 6 3 B H,G163E7E4 :,0.8181818181818182,0.0
All_Characters,5 1 8 5 4 M,660E4,0.9090909090909091,0.0
All_Characters,5 2 4 6 T H,5246#lulac,0.8181818181818182,0.0
All_Characters,8 0 7 6 1 W,80761lLe,0.6363636363636364,0.0
All_Characters,3 1 1 T,0aII,1.0,0.0
All_Characters,3 5 8 0 7 A A,0358024el,0.7692307692307693,0.0
All_Characters,9 3 6 4 8 B B,1n3648B B0c,0.6153846153846154,0.0
All_Characters,6 0 7 9 0 W,(602101,0.8181818181818182,0.0
All_Characters,6 0 8 2 5 A,608250x,0.5454545454545454,0.0
All_Characters,5 4 6 3 3 B B,686322,0.8461538461538461,0.0
All_Characters,5 7 4 6 5 A A,674051Julzd,0.8461538461538461,0.0
All_Characters,8 8 1 9 8 S,881287ULec,0.8181818181818182,0.0
All_Characters,3 8 7 8 B W,3878,0.6363636363636364,0.0
