Type,Label,Prediction,CER,Accuracy
All_Characters,9062BY,Mi,1.0,0.0
All_Characters,92212W,492212,0.3333333333333333,0.0
All_Characters,42640A,T,1.0,0.0
All_Characters,16316A,@,1.0,0.0
All_Characters,16909BB,16209BBUL,0.42857142857142855,0.0
All_Characters,61987Y,MM,1.0,0.0
All_Characters,26606D,[266061JBLAc,1.1666666666666667,0.0
All_Characters,5769Y,6262,0.8,0.0
All_Characters,9285TB,9285ZBuLe,0.6666666666666666,0.0
All_Characters,33756R,6u7u,0.8333333333333334,0.0
All_Characters,4580HH,[j80&iC,0.8333333333333334,0.0
All_Characters,2850AB,[5deb,0.8333333333333334,0.0
All_Characters,26979AA,26979AAJLaE,0.5714285714285714,0.0
All_Characters,85179D,MM16_,0.8333333333333334,0.0
All_Characters,8020BD,'8020185,0.6666666666666666,0.0
All_Characters,9664TA,[966h,0.6666666666666666,0.0
All_Characters,81430BB,181430BB,0.14285714285714285,0.0
All_Characters,72809D,M28w,0.6666666666666666,0.0
All_Characters,53422D,6322B61,0.8333333333333334,0.0
All_Characters,30579H,60579104,0.6666666666666666,0.0
All_Characters,20373W,pa20373,0.5,0.0
All_Characters,65287B,65282,0.3333333333333333,0.0
All_Characters,7890B,Ibd,1.0,0.0
All_Characters,1368B,Fwb,1.0,0.0
All_Characters,91052D,10b2,0.5,0.0
All_Characters,84964A,0pghL,1.0,0.0
All_Characters,56195H,1125,0.6666666666666666,0.0
All_Characters,42648B,52648OLr,0.6666666666666666,0.0
All_Characters,63706M,[z7ub,0.8333333333333334,0.0
All_Characters,14247H,1R2RT;6,0.8333333333333334,0.0
All_Characters,2502RW,252EZBL:,1.0,0.0
All_Characters,62123B,621256,0.3333333333333333,0.0
All_Characters,99805BB,129805BB,0.2857142857142857,0.0
All_Characters,75759S,25755JL,0.6666666666666666,0.0
All_Characters,66862BB,[6262E84,0.7142857142857143,0.0
All_Characters,4525DR,[2B,0.8333333333333334,0.0
All_Characters,60473W,FeibSLa,1.1666666666666667,0.0
All_Characters,74135Y,[25135E,0.6666666666666666,0.0
All_Characters,2850AB,@bwmd,1.0,0.0
All_Characters,75274W,Tu64,0.8333333333333334,0.0
All_Characters,9328H,19320EGL,1.0,0.0
All_Characters,81430BB,Buee,1.0,0.0
All_Characters,2205T,1s,1.0,0.0
All_Characters,60591Y,'60521,0.5,0.0
All_Characters,28152Y,281521,0.16666666666666666,0.0
All_Characters,43694D,89La[3op4,1.3333333333333333,0.0
All_Characters,88079S,164{88072],1.0,0.0
All_Characters,77572D,76728:,0.6666666666666666,0.0
All_Characters,63879H,EMi,1.0,0.0
All_Characters,50234R,6023[DL,0.6666666666666666,0.0
All_Characters,22616W,ILa12266,1.0,0.0
All_Characters,73092Y,1230221,0.6666666666666666,0.0
All_Characters,64205M,64205,0.16666666666666666,0.0
All_Characters,8239T,18239L,0.4,0.0
All_Characters,77830W,3Le77830],0.6666666666666666,0.0
All_Characters,16059W,060513,0.5,0.0
All_Characters,56393W,66323@p44,1.0,0.0
All_Characters,5982BH,G9b2b11,0.8333333333333334,0.0
All_Characters,63706M,,1.0,0.0
All_Characters,97800B,pzaqdeecd,1.5,0.0
All_Characters,791BD,291b35,0.8,0.0
All_Characters,63842D,63842Bl2,0.5,0.0
All_Characters,61456M,61451laLe,0.8333333333333334,0.0
All_Characters,66025B,60025,0.3333333333333333,0.0
All_Characters,78068H,28068BL,0.5,0.0
All_Characters,93980BB,[39b0ELBEPEx,1.1428571428571428,0.0
All_Characters,4905BY,,1.0,0.0
All_Characters,56308AA,M3,0.8571428571428571,0.0
All_Characters,99533R,Wek,1.0,0.0
All_Characters,21869M,EBOEN,1.0,0.0
All_Characters,38897M,B8897|,0.3333333333333333,0.0
All_Characters,72145B,12252,0.6666666666666666,0.0
All_Characters,8791AA,B7MIpLd,1.0,0.0
All_Characters,28218H,25248PLa,0.8333333333333334,0.0
All_Characters,28218H,25248pL,0.6666666666666666,0.0
All_Characters,66050A,Gh51,0.8333333333333334,0.0
All_Characters,15152H,1151526Ke,0.6666666666666666,0.0
All_Characters,41947A,EML,1.0,0.0
All_Characters,31824BB,1B1824Ea@L4c,1.1428571428571428,0.0
All_Characters,98366BB,128366_BB,0.42857142857142855,0.0
All_Characters,850HY,850selaazHY,1.2,0.0
All_Characters,34917W,WpQ,1.0,0.0
All_Characters,78879M,128829KEl,1.0,0.0
All_Characters,78047D,7804,0.3333333333333333,0.0
All_Characters,8815HH,DBieee,1.0,0.0
All_Characters,76029H,D6022EE,0.6666666666666666,0.0
All_Characters,65034BB,65034638,0.42857142857142855,0.0
All_Characters,81625R,01625PL,0.5,0.0
All_Characters,2523RW,2521,0.5,0.0
All_Characters,57265M,622606,0.6666666666666666,0.0
All_Characters,65366B,65064,0.5,0.0
All_Characters,41563BB,41563E1,0.2857142857142857,0.0
All_Characters,28906H,@,1.0,0.0
All_Characters,3286DR,B2E6B2,0.6666666666666666,0.0
All_Characters,86508AA,86508ULA,0.2857142857142857,0.0
All_Characters,12819AA,12812,0.42857142857142855,0.0
All_Characters,28390B,28320,0.3333333333333333,0.0
All_Characters,97800B,pzbdb004,1.0,0.0
All_Characters,12232W,[22Be4,0.6666666666666666,0.0
All_Characters,92173H,024a,0.8333333333333334,0.0
All_Characters,62149Y,621421BLX,0.8333333333333334,0.0
All_Characters,14910M,041BLe,0.8333333333333334,0.0
All_Characters,43157D,1631Zjk,0.8333333333333334,0.0
All_Characters,6149H,I,1.0,0.0
All_Characters,71713B,TME,1.0,0.0
All_Characters,75009W,750098624,0.6666666666666666,0.0
All_Characters,69209A,692091oLal,0.8333333333333334,0.0
All_Characters,56566A,6506meDE,1.0,0.0
All_Characters,49756BB,492756,0.42857142857142855,0.0
All_Characters,7810RW,{8102,0.5,0.0
All_Characters,50079BB,@m0aL,0.8571428571428571,0.0
All_Characters,47490,M4pd1lelel,1.8,0.0
All_Characters,39035A,52035,0.5,0.0
All_Characters,2599BK,I2zgg81DB,1.3333333333333333,0.0
All_Characters,12960D,742060,0.6666666666666666,0.0
All_Characters,8815HH,68153,0.5,0.0
All_Characters,27570W,12757oLac,0.8333333333333334,0.0
All_Characters,7734YB,M3/13L4,1.1666666666666667,0.0
All_Characters,13644B,DDLEBC,1.0,0.0
All_Characters,65366B,653661JL=,0.6666666666666666,0.0
All_Characters,59468Y,59468,0.16666666666666666,0.0
All_Characters,74257R,14252,0.5,0.0
All_Characters,21737R,612113lBLZ,1.1666666666666667,0.0
All_Characters,44861R,686],0.6666666666666666,0.0
All_Characters,20239A,20232,0.3333333333333333,0.0
All_Characters,62353AA,62353,0.2857142857142857,0.0
All_Characters,20563D,2056305,0.3333333333333333,0.0
All_Characters,62367M,Bpla[@MZE,1.3333333333333333,0.0
All_Characters,6684AS,68181,0.6666666666666666,0.0
All_Characters,40368B,[03661,0.5,0.0
All_Characters,40368B,[03661,0.5,0.0
All_Characters,76024BB,[6E22,0.7142857142857143,0.0
All_Characters,2037YB,134[20375,1.0,0.0
All_Characters,12692S,[262E,0.5,0.0
All_Characters,61982H,161262,0.6666666666666666,0.0
All_Characters,29728S,227228pL:,0.8333333333333334,0.0
All_Characters,57632A,67632OL,0.5,0.0
All_Characters,6163BH,G163E7E4:,1.0,0.0
All_Characters,51854M,660E4,0.8333333333333334,0.0
All_Characters,5246TH,5246#lulac,1.0,0.0
All_Characters,80761W,80761lLe,0.5,0.0
All_Characters,311T,0aII,1.0,0.0
All_Characters,35807AA,0358024el,0.7142857142857143,0.0
All_Characters,93648BB,1n3648BB0c,0.5714285714285714,0.0
All_Characters,60790W,(602101,0.6666666666666666,0.0
All_Characters,60825A,608250x,0.3333333333333333,0.0
All_Characters,54633BB,686322,0.7142857142857143,0.0
All_Characters,57465AA,674051Julzd,1.1428571428571428,0.0
All_Characters,88198S,881287ULec,1.0,0.0
All_Characters,3878BW,3878,0.3333333333333333,0.0
All_Characters,67423BB,674235BB,0.14285714285714285,0.0
All_Characters,22248R,722248,0.3333333333333333,0.0
All_Characters,99551W,WE[,1.0,0.0
All_Characters,98937M,D3532,0.8333333333333334,0.0
All_Characters,3286DR,EEEiy,1.0,0.0
All_Characters,6722DY,6722ppL?,0.6666666666666666,0.0
All_Characters,1359A,[1359,0.4,0.0
All_Characters,52717AA,,1.0,0.0
All_Characters,64778BB,@hOEEi,1.0,0.0
All_Characters,53213BB,63213Ep,0.42857142857142855,0.0
All_Characters,9919AW,@qMin,1.0,0.0
All_Characters,32827W,82827|,0.3333333333333333,0.0
All_Characters,40297W,[wDZE,1.0,0.0
All_Characters,46312H,[46312lilk,0.8333333333333334,0.0
All_Characters,48921W,L8221LULL,1.0,0.0
