Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,,1.0,0.0
All_Characters,9 2 2 1 2 W,,1.0,0.0
All_Characters,4 2 6 4 0 A,,1.0,0.0
All_Characters,1 6 3 1 6 A,,1.0,0.0
All_Characters,1 6 9 0 9 B B,16909 a5 Ole,0.6923076923076923,0.0
All_Characters,6 1 9 8 7 Y,,1.0,0.0
All_Characters,2 6 6 0 6 D,,1.0,0.0
All_Characters,5 7 6 9 Y,,1.0,0.0
All_Characters,9 2 8 5 T B,,1.0,0.0
All_Characters,3 3 7 5 6 R,,1.0,0.0
All_Characters,4 5 8 0 H H,,1.0,0.0
All_Characters,2 8 5 0 A B,,1.0,0.0
All_Characters,2 6 9 7 9 A A,,1.0,0.0
All_Characters,8 5 1 7 9 D,,1.0,0.0
All_Characters,8 0 2 0 B D,,1.0,0.0
All_Characters,9 6 6 4 T A,ie,1.0,0.0
All_Characters,8 1 4 3 0 B B,,1.0,0.0
All_Characters,7 2 8 0 9 D,,1.0,0.0
All_Characters,5 3 4 2 2 D,,1.0,0.0
All_Characters,3 0 5 7 9 H,,1.0,0.0
All_Characters,2 0 3 7 3 W,,1.0,0.0
All_Characters,6 5 2 8 7 B,,1.0,0.0
All_Characters,7 8 9 0 B,,1.0,0.0
All_Characters,1 3 6 8 B,m,1.0,0.0
All_Characters,9 1 0 5 2 D,,1.0,0.0
All_Characters,8 4 9 6 4 A,,1.0,0.0
All_Characters,5 6 1 9 5 H,,1.0,0.0
All_Characters,4 2 6 4 8 B,,1.0,0.0
All_Characters,6 3 7 0 6 M,,1.0,0.0
All_Characters,1 4 2 4 7 H,,1.0,0.0
All_Characters,2 5 0 2 R W,,1.0,0.0
All_Characters,6 2 1 2 3 B,WA,1.0,0.0
All_Characters,9 9 8 0 5 B B,,1.0,0.0
All_Characters,7 5 7 5 9 S,,1.0,0.0
All_Characters,6 6 8 6 2 B B,,1.0,0.0
All_Characters,4 5 2 5 D R,5 D5 ip alate,0.8181818181818182,0.0
All_Characters,6 0 4 7 3 W,,1.0,0.0
All_Characters,7 4 1 3 5 Y,,1.0,0.0
All_Characters,2 8 5 0 A B,2850 5 4 aul,0.6363636363636364,0.0
All_Characters,7 5 2 7 4 W,,1.0,0.0
All_Characters,9 3 2 8 H,,1.0,0.0
All_Characters,8 1 4 3 0 B B,,1.0,0.0
All_Characters,2 2 0 5 T,,1.0,0.0
All_Characters,6 0 5 9 1 Y,,1.0,0.0
All_Characters,2 8 1 5 2 Y,,1.0,0.0
All_Characters,4 3 6 9 4 D,,1.0,0.0
All_Characters,8 8 0 7 9 S,,1.0,0.0
All_Characters,7 7 5 7 2 D,,1.0,0.0
All_Characters,6 3 8 7 9 H,,1.0,0.0
All_Characters,5 0 2 3 4 R,50234) 2 folee,0.9090909090909091,0.0
All_Characters,2 2 6 1 6 W,,1.0,0.0
All_Characters,7 3 0 9 2 Y,,1.0,0.0
All_Characters,6 4 2 0 5 M,64205) f=,0.6363636363636364,0.0
All_Characters,8 2 3 9 T,,1.0,0.0
All_Characters,7 7 8 3 0 W,,1.0,0.0
All_Characters,1 6 0 5 9 W,,1.0,0.0
All_Characters,5 6 3 9 3 W,,1.0,0.0
All_Characters,5 9 8 2 B H,982 /S ume,0.8181818181818182,0.0
All_Characters,6 3 7 0 6 M,,1.0,0.0
All_Characters,9 7 8 0 0 B,,1.0,0.0
All_Characters,7 9 1 B D,,1.0,0.0
All_Characters,6 3 8 4 2 D,BIB? 2 tt,0.8181818181818182,0.0
All_Characters,6 1 4 5 6 M,,1.0,0.0
All_Characters,6 6 0 2 5 B,,1.0,0.0
All_Characters,7 8 0 6 8 H,,1.0,0.0
All_Characters,9 3 9 8 0 B B,,1.0,0.0
All_Characters,4 9 0 5 B Y,,1.0,0.0
All_Characters,5 6 3 0 8 A A,,1.0,0.0
All_Characters,9 9 5 3 3 R,,1.0,0.0
All_Characters,2 1 8 6 9 M,,1.0,0.0
All_Characters,3 8 8 9 7 M,,1.0,0.0
All_Characters,7 2 1 4 5 B,,1.0,0.0
All_Characters,8 7 9 1 A A,,1.0,0.0
All_Characters,2 8 2 1 8 H,,1.0,0.0
All_Characters,2 8 2 1 8 H,,1.0,0.0
All_Characters,6 6 0 5 0 A,,1.0,0.0
All_Characters,1 5 1 5 2 H,,1.0,0.0
All_Characters,4 1 9 4 7 A,,1.0,0.0
All_Characters,3 1 8 2 4 B B,,1.0,0.0
All_Characters,9 8 3 6 6 B B,8366 an”,0.6153846153846154,0.0
All_Characters,8 5 0 H Y,,1.0,0.0
