Type,Label,Prediction,CER,Accuracy
All_Characters,2 6 4 5 2 D,2 6 6 6 2 6 6 7 6 6 4 6 66 6 6 A D,2.272727272727273,0.0
All_Characters,3 3 7 5 6 R,3 3 3 3 5 R R R K R R S R R D R R,2.1818181818181817,0.0
All_Characters,3 5 6 1 5 R,3 5 5 5 6 5 55 5 5 3 5 5 1 5 5 S,2.0,0.0
All_Characters,9 6 2 5 M M,4 6 6 6 9 6 9 9 6 6 8 6 6 2 6 6 5 6,2.4545454545454546,0.0
All_Characters,5 9 8 2 B H,5 9 9 5 9 9 9 8 9 9 3 9 99 9 9 2 9,2.3636363636363638,0.0
All_Characters,6 2 0 1 3 W,2 2 2 7 2 2 0 2 2 6 2 22 2 2 8 2 2,2.4545454545454546,0.0
All_Characters,7 7 3 7 0 R,7 7 7 7 5 Y Y Y T Y T T T Y Y S Y Y,2.4545454545454546,0.0
All_Characters,9 4 3 4 B,7 4 4 4 3 4 44 4 4 1 4 4 9 4 4 A,2.7777777777777777,0.0
All_Characters,3 6 5 5 2 W,3 6 6 6 5 W W W M W W H W W K W W,2.1818181818181817,0.0
All_Characters,5 2 4 2 H A,4 2 2 2 9 2 2 3 2 2 8 2 2 7 2 2 1 2,2.5454545454545454,0.0
All_Characters,5 8 9 7 2 B B,5 8 8 8 9 8 8 6 8 8 3 8 88 8 8 2 8,1.9230769230769231,0.0
All_Characters,1 3 1 0 5 R,1 3 3 3 1 3 33 3 3 8 3 3 R,1.5454545454545454,0.0
All_Characters,8 6 9 0 0 M,3 6 6 8 6 6 6 9 6 6 0 6 6 3 6 66 6,2.272727272727273,0.0
All_Characters,6 9 0 1 R S,6 9 9 9 0 S S S W S S A S S R S S,2.090909090909091,0.0
All_Characters,9 3 8 5 5 A A,9 3 3 3 8 3 8 8 3 3 5 3 8 5 8 3 5 8,1.8461538461538463,0.0
All_Characters,3 3 9 6 5 B B,2 3 3 3 1 3 1 1 3 3 6 3 1 6 1 3 6 1,2.0,0.0
