Type,Label,Prediction,CER,Accuracy
All_Characters,5384RA,,1.0,0.0
All_Characters,5989BK,,1.0,0.0
All_Characters,2259MD,,1.0,0.0
All_Characters,93528HR,,1.0,0.0
All_Characters,82640AA,,1.0,0.0
All_Characters,63418BW,,1.0,0.0
All_Characters,39964DY,,1.0,0.0
All_Characters,363BY,,1.0,0.0
All_Characters,8479RW,,1.0,0.0
All_Characters,7165TB,,1.0,0.0
All_Characters,2211BH,,1.0,0.0
All_Characters,78358R,,1.0,0.0
All_Characters,3805B,,1.0,0.0
All_Characters,4339RS,,1.0,0.0
All_Characters,86654DR,,1.0,0.0
All_Characters,7790BY,,1.0,0.0
All_Characters,4572DW,,1.0,0.0
All_Characters,71087RK,,1.0,0.0
All_Characters,60043AM,,1.0,0.0
All_Characters,8212AD,,1.0,0.0
All_Characters,8771RK,,1.0,0.0
All_Characters,929M,,1.0,0.0
All_Characters,4009YW,,1.0,0.0
All_Characters,8503WK,,1.0,0.0
All_Characters,3795MA,,1.0,0.0
All_Characters,8401MH,,1.0,0.0
All_Characters,5129KA,,1.0,0.0
All_Characters,12545W,,1.0,0.0
All_Characters,4243AS,,1.0,0.0
All_Characters,2877DA,,1.0,0.0
All_Characters,777HD,,1.0,0.0
All_Characters,8250DS,,1.0,0.0
All_Characters,48311YA,,1.0,0.0
All_Characters,66298RK,,1.0,0.0
All_Characters,4102RH,,1.0,0.0
All_Characters,61392MY,,1.0,0.0
All_Characters,60252KB,,1.0,0.0
All_Characters,1554T,,1.0,0.0
All_Characters,79490S,,1.0,0.0
All_Characters,1302M,,1.0,0.0
All_Characters,72634DS,,1.0,0.0
All_Characters,4738AR,,1.0,0.0
All_Characters,14662DA,,1.0,0.0
All_Characters,5876AY,,1.0,0.0
All_Characters,82500AA,,1.0,0.0
All_Characters,67392MW,,1.0,0.0
All_Characters,25656HM,,1.0,0.0
All_Characters,846M,,1.0,0.0
All_Characters,43S,,1.0,0.0
All_Characters,527BM,,1.0,0.0
All_Characters,5459TA,,1.0,0.0
All_Characters,99059AM,,1.0,0.0
All_Characters,41159TB,,1.0,0.0
All_Characters,1368MM,,1.0,0.0
All_Characters,33820AK,,1.0,0.0
All_Characters,90847WK,,1.0,0.0
All_Characters,17HW,,1.0,0.0
All_Characters,926AD,,1.0,0.0
All_Characters,8533T,,1.0,0.0
All_Characters,456SS,,1.0,0.0
All_Characters,64777DS,,1.0,0.0
All_Characters,68673LK,,1.0,0.0
All_Characters,4590D,,1.0,0.0
All_Characters,565Y,,1.0,0.0
All_Characters,58052A,,1.0,0.0
All_Characters,93173AS,,1.0,0.0
All_Characters,7604Y,,1.0,0.0
All_Characters,8206HM,,1.0,0.0
All_Characters,826S,,1.0,0.0
All_Characters,42428S,,1.0,0.0
All_Characters,4993M,,1.0,0.0
All_Characters,1398LK,,1.0,0.0
All_Characters,31AA,,1.0,0.0
All_Characters,90133DK,,1.0,0.0
All_Characters,48372R,,1.0,0.0
All_Characters,20183RW,,1.0,0.0
All_Characters,94248YB,,1.0,0.0
All_Characters,6702B,,1.0,0.0
All_Characters,3143HM,,1.0,0.0
All_Characters,17314DA,,1.0,0.0
All_Characters,6507HH,,1.0,0.0
All_Characters,73524MY,,1.0,0.0
All_Characters,14026BH,,1.0,0.0
All_Characters,4538DY,,1.0,0.0
All_Characters,12H,,1.0,0.0
All_Characters,52439MD,,1.0,0.0
All_Characters,48565DS,,1.0,0.0
All_Characters,85267BY,,1.0,0.0
All_Characters,9079MA,,1.0,0.0
All_Characters,16909AK,,1.0,0.0
All_Characters,36380KK,,1.0,0.0
All_Characters,1015RA,,1.0,0.0
All_Characters,813DW,,1.0,0.0
All_Characters,28278MK,,1.0,0.0
All_Characters,818HH,,1.0,0.0
All_Characters,8815RY,,1.0,0.0
All_Characters,95570YY,,1.0,0.0
All_Characters,8291BB,,1.0,0.0
All_Characters,13292BD,,1.0,0.0
All_Characters,33309R,,1.0,0.0
All_Characters,774HR,,1.0,0.0
All_Characters,94781B,,1.0,0.0
All_Characters,539MK,,1.0,0.0
All_Characters,88KA,,1.0,0.0
All_Characters,74439LK,,1.0,0.0
All_Characters,63293DD,,1.0,0.0
All_Characters,3644BW,,1.0,0.0
All_Characters,16752WB,,1.0,0.0
All_Characters,53196RR,,1.0,0.0
All_Characters,10593YM,,1.0,0.0
All_Characters,906HR,,1.0,0.0
All_Characters,47055MS,,1.0,0.0
All_Characters,7350MY,,1.0,0.0
All_Characters,88684A,,1.0,0.0
All_Characters,67613RK,,1.0,0.0
All_Characters,207AR,"207|,nfoue|",1.6,0.0
All_Characters,62637YY,,1.0,0.0
All_Characters,88611DY,,1.0,0.0
All_Characters,43484AK,,1.0,0.0
All_Characters,580WA,,1.0,0.0
All_Characters,2386RY,,1.0,0.0
All_Characters,49048RK,,1.0,0.0
All_Characters,19702TT,,1.0,0.0
All_Characters,338HM,,1.0,0.0
All_Characters,94061RH,,1.0,0.0
All_Characters,7980MB,,1.0,0.0
All_Characters,3117T,,1.0,0.0
All_Characters,90112MD,,1.0,0.0
All_Characters,81678KK,,1.0,0.0
All_Characters,80256BW,,1.0,0.0
All_Characters,96MB,,1.0,0.0
All_Characters,39025TB,,1.0,0.0
All_Characters,30491W,,1.0,0.0
All_Characters,5658YS,,1.0,0.0
All_Characters,46685RS,,1.0,0.0
All_Characters,556MW,,1.0,0.0
All_Characters,1408RW,,1.0,0.0
All_Characters,87399A,,1.0,0.0
All_Characters,692AB,,1.0,0.0
All_Characters,54507K,,1.0,0.0
All_Characters,3638DK,,1.0,0.0
All_Characters,9124BM,,1.0,0.0
All_Characters,2926WK,,1.0,0.0
All_Characters,1624YA,,1.0,0.0
All_Characters,69612MW,,1.0,0.0
All_Characters,9404S,,1.0,0.0
All_Characters,22288RW,,1.0,0.0
All_Characters,96747KH,,1.0,0.0
All_Characters,696YY,,1.0,0.0
All_Characters,87740DA,,1.0,0.0
All_Characters,62973BB,,1.0,0.0
All_Characters,23071DK,,1.0,0.0
All_Characters,977BH,,1.0,0.0
All_Characters,8906RY,,1.0,0.0
All_Characters,19050YR,,1.0,0.0
All_Characters,5186YR,,1.0,0.0
All_Characters,451BA,,1.0,0.0
All_Characters,20252HA,,1.0,0.0
All_Characters,3578DR,,1.0,0.0
All_Characters,79239DK,,1.0,0.0
All_Characters,80865RH,,1.0,0.0
All_Characters,17862K,,1.0,0.0
All_Characters,30BY,,1.0,0.0
All_Characters,8713HA,,1.0,0.0
All_Characters,719RS,,1.0,0.0
All_Characters,54284RA,,1.0,0.0
All_Characters,8524MS,,1.0,0.0
All_Characters,97BM,,1.0,0.0
All_Characters,5564MK,,1.0,0.0
All_Characters,4634BD,,1.0,0.0
All_Characters,95050MW,,1.0,0.0
All_Characters,8914BY,,1.0,0.0
