Type,Label,Prediction,CER,Accuracy
All_Characters,9 0 6 2 B Y,1,1.0,0.0
All_Characters,9 2 2 1 2 W,9 2 W W W M W W 2 W M M W M 2,1.8181818181818181,0.0
All_Characters,4 2 6 4 0 A,4 4 A A A 6 A A 8 A A B A A 4,1.9090909090909092,0.0
All_Characters,1 6 3 1 6 A,1,0.9090909090909091,0.0
All_Characters,1 6 9 0 9 B B,1 9 B B B H B B R B B M B B A B,1.6923076923076923,0.0
All_Characters,6 1 9 8 7 Y,6 7 Y Y,0.5454545454545454,0.0
All_Characters,2 6 6 0 6 D,2 6 D D D 6,0.36363636363636365,0.0
All_Characters,5 7 6 9 Y,5 9 Y Y Y M Y Y W Y Y R Y Y 9,2.5555555555555554,0.0
All_Characters,9 2 8 5 T B,9 8 B B B H B,0.5454545454545454,0.0
All_Characters,3 3 7 5 6 R,3 6 R R,0.5454545454545454,0.0
All_Characters,4 5 8 0 H H,4 0 H H H M H H R H H B H H W H,2.090909090909091,0.0
All_Characters,2 8 5 0 A B,2 0 B B B A B B H B,1.0,0.0
All_Characters,2 6 9 7 9 A A,2 9 A A A R A A M A A H A A B A,1.6923076923076923,0.0
All_Characters,8 5 1 7 9 D,8 7 D D,0.45454545454545453,0.0
All_Characters,8 0 2 0 B D,8 0 D D D B D D A D D M D D H D,2.0,0.0
All_Characters,9 6 6 4 T A,1 3 B B B H B H H H B A H H A,2.090909090909091,0.0
All_Characters,8 1 4 3 0 B B,8 3 B B B H B B R B,0.7692307692307693,0.0
All_Characters,7 2 8 0 9 D,7 9 D D D B D D A D D H D D 9,2.0,0.0
All_Characters,5 3 4 2 2 D,5 2 D D D B D D M D D H D D R D,2.1818181818181817,0.0
All_Characters,3 0 5 7 9 H,3 7 H H,0.45454545454545453,0.0
All_Characters,2 0 3 7 3 W,2 3 W W W M W W B W W A W W 3,2.0,0.0
All_Characters,6 5 2 8 7 B,6 7 B B B 7 B 7 7 B H B,1.3636363636363635,0.0
All_Characters,7 8 9 0 B,1 0 A A,0.6666666666666666,0.0
All_Characters,1 3 6 8 B,1,0.8888888888888888,0.0
All_Characters,9 1 0 5 2 D,2 2 2 2 B 2 2 D 2 2 A 2 2 M 2,2.0,0.0
All_Characters,8 4 9 6 4 A,8 4 4,0.5454545454545454,0.0
All_Characters,5 6 1 9 5 H,5 5 H H H M H H B H H R H H W H,2.1818181818181817,0.0
All_Characters,4 2 6 4 8 B,4 8 8,0.6363636363636364,0.0
All_Characters,6 3 7 0 6 M,6 0 M M M W M M 6 M W W M W 6,1.9090909090909092,0.0
All_Characters,1 4 2 4 7 H,1 7 H H 7 7 7 H 7 H M 7 7 M 7,1.9090909090909092,0.0
All_Characters,2 5 0 2 R W,2 R W W W Y W W M W,1.0909090909090908,0.0
All_Characters,6 2 1 2 3 B,6 3 D D D B D D H D D M D D 3,2.0,0.0
All_Characters,9 9 8 0 5 B B,9 5 B B B H B B R B,0.7692307692307693,0.0
All_Characters,7 5 7 5 9 S,7 5 9 9 9 M 9,0.45454545454545453,0.0
