Type,Label,Prediction,CER,Accuracy
All_Characters,5384RA,5384RALE,0.3333333333333333,0.0
All_Characters,5989BK,59898XCLUE,1.0,0.0
All_Characters,2259MD,2259MOCLE,0.6666666666666666,0.0
All_Characters,93528HR,93528-RCLE,0.5714285714285714,0.0
All_Characters,82640AA,82640AL,0.14285714285714285,0.0
All_Characters,63418BW,63418.WSLE,0.5714285714285714,0.0
All_Characters,39964DY,39964@TOTAL,0.8571428571428571,0.0
All_Characters,363BY,363BYCLE,0.6,0.0
All_Characters,8479RW,8479RWCLE,0.5,0.0
All_Characters,7165TB,7165TECLE,0.6666666666666666,0.0
All_Characters,2211BH,22118%,0.3333333333333333,0.0
All_Characters,78358R,78358RCLE,0.5,0.0
All_Characters,3805B,3805%CLE,0.8,0.0
All_Characters,4339RS,4339RSCLE,0.5,0.0
All_Characters,86654DR,86654RCLE,0.5714285714285714,0.0
All_Characters,7790BY,7790BYCLE,0.5,0.0
All_Characters,4572DW,4572BWSLE,0.6666666666666666,0.0
All_Characters,71087RK,71087*,0.2857142857142857,0.0
All_Characters,60043AM,60043AMSLE,0.42857142857142855,0.0
All_Characters,8212AD,8212ADOLUE,0.6666666666666666,0.0
All_Characters,8771RK,87718*,0.3333333333333333,0.0
All_Characters,929M,929MCLE,0.75,0.0
All_Characters,4009YW,4009%WSLE,0.6666666666666666,0.0
All_Characters,8503WK,8503W/CLE,0.6666666666666666,0.0
All_Characters,3795MA,3795WABLE,0.6666666666666666,0.0
All_Characters,8401MH,8401%,0.3333333333333333,0.0
All_Characters,5129KA,5129X4CLE,0.8333333333333334,0.0
All_Characters,12545W,12545WOLE,0.5,0.0
All_Characters,4243AS,4243ASCLE,0.5,0.0
All_Characters,2877DA,28776:,0.3333333333333333,0.0
All_Characters,777HD,77745,0.4,0.0
All_Characters,8250DS,825065,0.3333333333333333,0.0
All_Characters,48311YA,48311YABLE,0.42857142857142855,0.0
All_Characters,66298RK,66298RICE,0.42857142857142855,0.0
All_Characters,4102RH,4102RHDLE,0.5,0.0
All_Characters,61392MY,61392MYSLE,0.42857142857142855,0.0
All_Characters,60252KB,60252*8CLE,0.7142857142857143,0.0
All_Characters,1554T,1554+CLE,0.8,0.0
All_Characters,79490S,79490SCLE,0.5,0.0
All_Characters,1302M,1302%CLE,0.8,0.0
All_Characters,72634DS,7263465CLE,0.7142857142857143,0.0
All_Characters,4738AR,4738ARCLE,0.5,0.0
All_Characters,14662DA,146626:CLE,0.7142857142857143,0.0
All_Characters,5876AY,5876AYCLE,0.5,0.0
All_Characters,82500AA,82500ALALE,0.42857142857142855,0.0
All_Characters,67392MW,67392MMSALE,0.7142857142857143,0.0
All_Characters,25656HM,25656MMSALE,0.7142857142857143,0.0
All_Characters,846M,846MCLE,0.75,0.0
All_Characters,43S,435CLUE,1.6666666666666667,0.0
All_Characters,527BM,527PMOLE,0.8,0.0
All_Characters,5459TA,5459FABLE,0.6666666666666666,0.0
All_Characters,99059AM,99059AMSLE,0.42857142857142855,0.0
All_Characters,41159TB,4115978,0.2857142857142857,0.0
All_Characters,1368MM,1368MMSLE,0.5,0.0
All_Characters,33820AK,33820AKE,0.14285714285714285,0.0
All_Characters,90847WK,90847W*,0.14285714285714285,0.0
All_Characters,17HW,17HWBLE,0.75,0.0
All_Characters,926AD,926ADOLE,0.6,0.0
All_Characters,8533T,8533+CLE,0.8,0.0
All_Characters,456SS,456SSCLUE,0.8,0.0
All_Characters,64777DS,6477765,0.2857142857142857,0.0
All_Characters,68673LK,68673*,0.2857142857142857,0.0
All_Characters,4590D,4590%CLE,0.8,0.0
All_Characters,565Y,565%CLE,1.0,0.0
All_Characters,58052A,58052,0.16666666666666666,0.0
All_Characters,93173AS,93173-SCLE,0.5714285714285714,0.0
All_Characters,7604Y,7604,0.2,0.0
All_Characters,8206HM,8206AMOLUE,0.8333333333333334,0.0
All_Characters,826S,826SCLE,0.75,0.0
All_Characters,42428S,42428SCLE,0.5,0.0
All_Characters,4993M,4993MCLE,0.6,0.0
All_Characters,1398LK,1398*,0.3333333333333333,0.0
All_Characters,31AA,31AUGLE,1.0,0.0
All_Characters,90133DK,90133PK,0.14285714285714285,0.0
All_Characters,48372R,48372RCLE,0.5,0.0
All_Characters,20183RW,20183WWSLE,0.5714285714285714,0.0
All_Characters,94248YB,94248YRBLE,0.42857142857142855,0.0
All_Characters,6702B,67028CLE,0.8,0.0
All_Characters,3143HM,3143AMOLUE,0.8333333333333334,0.0
All_Characters,17314DA,17314.4,0.2857142857142857,0.0
All_Characters,6507HH,65075ML,0.5,0.0
All_Characters,73524MY,73524%,0.2857142857142857,0.0
All_Characters,14026BH,1402658-,0.42857142857142855,0.0
All_Characters,4538DY,4538,0.3333333333333333,0.0
All_Characters,12H,125CLUE,1.6666666666666667,0.0
All_Characters,52439MD,52439MOCLE,0.5714285714285714,0.0
All_Characters,48565DS,48565SCLE,0.5714285714285714,0.0
All_Characters,85267BY,852678YCLE,0.5714285714285714,0.0
All_Characters,9079MA,9079MAS,0.16666666666666666,0.0
All_Characters,16909AK,16909X,0.2857142857142857,0.0
All_Characters,36380KK,36380KABLE,0.5714285714285714,0.0
All_Characters,1015RA,1015RABLE,0.5,0.0
All_Characters,813DW,813SWSLE,0.8,0.0
All_Characters,28278MK,28278ML,0.14285714285714285,0.0
All_Characters,818HH,81856,0.4,0.0
All_Characters,8815RY,8815RYCLE,0.5,0.0
All_Characters,95570YY,9557099,0.2857142857142857,0.0
All_Characters,8291BB,829188CLE,0.8333333333333334,0.0
All_Characters,13292BD,1329286,0.2857142857142857,0.0
All_Characters,33309R,33309RCLE,0.5,0.0
All_Characters,774HR,774*,0.4,0.0
All_Characters,94781B,947818CLE,0.6666666666666666,0.0
All_Characters,539MK,539MAXCLE,1.0,0.0
All_Characters,88KA,88KABLE,0.75,0.0
All_Characters,74439LK,74439PK,0.14285714285714285,0.0
All_Characters,63293DD,63293,0.2857142857142857,0.0
All_Characters,3644BW,3644BWSLE,0.5,0.0
All_Characters,16752WB,16752WSCLE,0.5714285714285714,0.0
All_Characters,53196RR,53196RICE,0.42857142857142855,0.0
All_Characters,10593YM,10593CMCLE,0.5714285714285714,0.0
All_Characters,906HR,906HRCLE,0.6,0.0
All_Characters,47055MS,47055MSCLE,0.42857142857142855,0.0
All_Characters,7350MY,7350MYCLE,0.5,0.0
All_Characters,88684A,88684,0.16666666666666666,0.0
All_Characters,67613RK,67613*,0.2857142857142857,0.0
All_Characters,207AR,207ARCLE,0.6,0.0
All_Characters,62637YY,62637,0.2857142857142857,0.0
All_Characters,88611DY,8861167,0.2857142857142857,0.0
All_Characters,43484AK,43484X,0.2857142857142857,0.0
All_Characters,580WA,580WABLE,0.6,0.0
All_Characters,2386RY,2386RYCLE,0.5,0.0
All_Characters,49048RK,49048*,0.2857142857142857,0.0
All_Characters,19702TT,"19702,4",0.2857142857142857,0.0
All_Characters,338HM,338AMOLUE,1.0,0.0
All_Characters,94061RH,940615-CLE,0.7142857142857143,0.0
All_Characters,7980MB,7980MECLE,0.6666666666666666,0.0
All_Characters,3117T,3117*CLA,0.8,0.0
All_Characters,90112MD,90112%:,0.2857142857142857,0.0
All_Characters,81678KK,81678X,0.2857142857142857,0.0
All_Characters,80256BW,80256WWSLE,0.5714285714285714,0.0
All_Characters,96MB,96MASCLE,1.25,0.0
All_Characters,39025TB,3902578,0.2857142857142857,0.0
All_Characters,30491W,30491WSLE,0.5,0.0
All_Characters,5658YS,56587SALE,0.6666666666666666,0.0
All_Characters,46685RS,466858-SCLE,0.7142857142857143,0.0
All_Characters,556MW,556WW.BLE,1.0,0.0
All_Characters,1408RW,1408WWSLE,0.6666666666666666,0.0
All_Characters,87399A,87399ACLE,0.5,0.0
All_Characters,692AB,692AECLE,0.8,0.0
All_Characters,54507K,54507*CLE,0.6666666666666666,0.0
All_Characters,3638DK,3638PK,0.16666666666666666,0.0
All_Characters,9124BM,9124PMCLE,0.6666666666666666,0.0
All_Characters,2926WK,2926W/CLE,0.6666666666666666,0.0
All_Characters,1624YA,1624YABLE,0.5,0.0
All_Characters,69612MW,69612MMSLE,0.5714285714285714,0.0
All_Characters,9404S,9404SCLE,0.6,0.0
All_Characters,22288RW,22288WWSLE,0.5714285714285714,0.0
All_Characters,96747KH,96747KABLE,0.5714285714285714,0.0
All_Characters,696YY,69697,0.4,0.0
All_Characters,87740DA,87740,0.2857142857142857,0.0
All_Characters,62973BB,6297388CLE,0.7142857142857143,0.0
All_Characters,23071DK,23071@KCLE,0.5714285714285714,0.0
All_Characters,977BH,977EABLE,0.8,0.0
All_Characters,8906RY,8906RYCLE,0.5,0.0
All_Characters,19050YR,19050RCLE,0.5714285714285714,0.0
All_Characters,5186YR,5186XXCLUE,1.0,0.0
All_Characters,451BA,451EABLE,0.8,0.0
All_Characters,20252HA,20252-ACLE,0.5714285714285714,0.0
All_Characters,3578DR,35788RCLE,0.6666666666666666,0.0
All_Characters,79239DK,792395XCLE,0.7142857142857143,0.0
All_Characters,80865RH,80865*,0.2857142857142857,0.0
All_Characters,17862K,17862*CLE,0.6666666666666666,0.0
All_Characters,30BY,30BYCLE,0.75,0.0
All_Characters,8713HA,871345CLE,0.8333333333333334,0.0
All_Characters,719RS,719RSCLE,0.6,0.0
All_Characters,54284RA,54284RALE,0.2857142857142857,0.0
All_Characters,8524MS,8524WSCLE,0.6666666666666666,0.0
All_Characters,97BM,978ML,0.5,0.0
All_Characters,5564MK,5564MKCLE,0.5,0.0
All_Characters,4634BD,46348.0,0.5,0.0
All_Characters,95050MW,95050MMSLE,0.5714285714285714,0.0
All_Characters,8914BY,89148YCLE,0.6666666666666666,0.0
All_Characters,9306LK,9306PK,0.16666666666666666,0.0
All_Characters,3118MK,3118**,0.3333333333333333,0.0
All_Characters,96210BR,962108RCLE,0.5714285714285714,0.0
All_Characters,4856BY,48568YCLE,0.6666666666666666,0.0
All_Characters,799DD,799%,0.4,0.0
All_Characters,5329MM,5329MMSLE,0.5,0.0
All_Characters,7953RA,7953RABLE,0.5,0.0
All_Characters,94282YW,94282-WSALE,0.7142857142857143,0.0
All_Characters,971YA,971YABLE,0.6,0.0
All_Characters,7042RA,7042RACLE,0.5,0.0
All_Characters,66893AR,66893RALE,0.42857142857142855,0.0
All_Characters,90808M,90808%SALE,0.8333333333333334,0.0
All_Characters,5413RM,5413RMOLUE,0.6666666666666666,0.0
All_Characters,2283HH,22835ML,0.5,0.0
All_Characters,88RA,88RABLE,0.75,0.0
All_Characters,61473HY,6147345,0.2857142857142857,0.0
All_Characters,30MB,30MECLE,1.0,0.0
All_Characters,8226TB,8226TECLE,0.6666666666666666,0.0
All_Characters,82HH,825.5,0.75,0.0
All_Characters,23232HR,23232-RCLE,0.5714285714285714,0.0
All_Characters,451TA,451TAXABLE,1.0,0.0
All_Characters,76580MS,76580MSCLE,0.42857142857142855,0.0
All_Characters,597KK,597KABLE,0.8,0.0
All_Characters,55814WK,55814W*,0.14285714285714285,0.0
All_Characters,9570AW,9570AWCLE,0.5,0.0
All_Characters,77924RA,77924RACLE,0.42857142857142855,0.0
All_Characters,6183AW,6183AWSLE,0.5,0.0
All_Characters,6782ML,6782MTCLE,0.5,0.0
All_Characters,2754LK,2754PK,0.16666666666666666,0.0
All_Characters,17TB,17TEOLE,1.0,0.0
All_Characters,63357RR,63357R,0.14285714285714285,0.0
All_Characters,56516HY,5651645,0.2857142857142857,0.0
All_Characters,10728TT,10728,0.2857142857142857,0.0
All_Characters,8796MH,8796WHOLE,0.6666666666666666,0.0
All_Characters,895BB,895883,0.6,0.0
All_Characters,81933BW,81933BWSLE,0.42857142857142855,0.0
All_Characters,355BB,3558.8,0.6,0.0
All_Characters,22460T,22460,0.16666666666666666,0.0
All_Characters,4944MA,4944MAS,0.16666666666666666,0.0
All_Characters,6867WK,6867W/CLE,0.6666666666666666,0.0
All_Characters,8057MD,8057MOCLE,0.6666666666666666,0.0
All_Characters,615WA,615WABLE,0.6,0.0
All_Characters,307MA,307WABLE,0.8,0.0
All_Characters,88822YB,88822,0.2857142857142857,0.0
All_Characters,42870AK,42870AKSLE,0.42857142857142855,0.0
All_Characters,52782TB,52782783,0.42857142857142855,0.0
All_Characters,36333K,36333%CLE,0.6666666666666666,0.0
All_Characters,47062W,47062WSLE,0.5,0.0
All_Characters,7768ML,7768MLBLE,0.5,0.0
All_Characters,256TT,256PTCLE,0.8,0.0
All_Characters,5237HM,5237AMOLUE,0.8333333333333334,0.0
All_Characters,3587HA,3587HABLE,0.5,0.0
All_Characters,55112MH,55112%,0.2857142857142857,0.0
All_Characters,5048KK,5048KABLE,0.6666666666666666,0.0
All_Characters,71035BK,71035*,0.2857142857142857,0.0
All_Characters,38065HD,3806545,0.2857142857142857,0.0
All_Characters,412MW,412WWSLE,0.8,0.0
All_Characters,34124RS,34124RSCLE,0.42857142857142855,0.0
All_Characters,8210DS,8210165CLE,1.0,0.0
All_Characters,214DK,214PK,0.2,0.0
All_Characters,7YB,7YABLE,1.0,0.0
All_Characters,214RY,214RYCLE,0.6,0.0
All_Characters,52699K,52699*CLE,0.6666666666666666,0.0
All_Characters,116WW,116WWBLE,0.6,0.0
All_Characters,783TA,783TABLE,0.6,0.0
All_Characters,281BK,2818XCLUE,1.2,0.0
All_Characters,3120MD,3120MECLE,0.6666666666666666,0.0
All_Characters,9272MR,9272MRSCLE,0.6666666666666666,0.0
All_Characters,436BA,436BALUE,0.6,0.0
All_Characters,2383MK,2383MCGLUE,0.8333333333333334,0.0
All_Characters,1710AW,1710AWSLE,0.5,0.0
All_Characters,10964AA,10964AKE,0.2857142857142857,0.0
All_Characters,6760MD,6760MOCLE,0.6666666666666666,0.0
All_Characters,1709T,1709+CLE,0.8,0.0
All_Characters,5293K,5293%CLE,0.8,0.0
All_Characters,6875DK,6875PK,0.16666666666666666,0.0
All_Characters,37663MS,37663MSCLE,0.42857142857142855,0.0
All_Characters,2586YB,2586VSCLUE,1.0,0.0
